"Date","Close","Open","High","Low","Volume"
"10/4/2021","42003.7","40792.8","42306.5","40792.8","58960000"
"10/5/2021","41852.4","42003.7","42306.5","41701","34540000"
"10/6/2021","42457.8","42230.8","42609.2","41928.1","34800000"
"10/7/2021","42079.4","42684.9","42911.9","42003.7","34800000"
"10/8/2021","42155.1","42230.8","42533.5","41776.7","28200000"
"10/11/2021","43290.3","42457.8","43366","42155.1","33210000"
"10/12/2021","43139","43366","43593.1","42987.6","23540000"
"10/13/2021","42987.6","43139","43441.7","42760.6","20260000"
"10/14/2021","42987.6","42987.6","43441.7","42911.9","25060000"
"10/15/2021","43366","43366","43668.7","43139","24080000"
"10/18/2021","43820.1","43593.1","44198.5","43517.4","26960000"
"10/19/2021","43290.3","43593.1","43895.8","43214.7","30840000"
"10/20/2021","43063.3","43441.7","43517.4","42230.8","45060000"
"10/21/2021","43290.3","43290.3","44047.2","42836.2","50950000"
"10/22/2021","42911.9","43441.7","43744.4","42911.9","25800000"
"10/25/2021","41701","42760.6","42911.9","41701","54090000"
"10/26/2021","42609.2","41474","42609.2","41019.9","36280000"
"10/27/2021","43820.1","42609.2","43820.1","42609.2","37620000"
"10/28/2021","43895.8","43820.1","44047.2","43366","28500000"
"10/29/2021","43214.7","43895.8","43971.5","43214.7","31040000"
"11/1/2021","42155.1","43214.7","43214.7","42155.1","58780000"
"11/2/2021","42003.7","42003.7","42684.9","41776.7","33370000"
"11/3/2021","42079.4","42533.5","42609.2","41852.4","38830000"
"11/4/2021","42609.2","42079.4","43063.3","42079.4","19300000"
"11/5/2021","42836.2","42609.2","43139","42155.1","25190000"
"11/8/2021","42987.6","43063.3","43139","42533.5","27630000"
"11/9/2021","42760.6","42987.6","43593.1","42684.9","32130000"
"11/10/2021","41852.4","42760.6","42836.2","41776.7","56390000"
"11/11/2021","40868.5","41625.3","41852.4","40565.8","70580000"
"11/12/2021","41322.6","40792.8","41474","40717.1","27100000"
"11/15/2021","40565.8","41246.9","41322.6","40338.7","39840000"
"11/16/2021","39354.9","40338.7","40565.8","39354.9","51710000"
"11/17/2021","38900.8","39354.9","39808.9","38900.8","39000000"
"11/18/2021","37803.4","38900.8","38900.8","37538.5","76190000"
"11/19/2021","36327.6","37538.5","37614.2","36251.9","63010000"
"11/22/2021","36819.5","36478.9","37235.7","36327.6","29420000"
"11/23/2021","37500.6","37008.7","37689.8","36781.6","20340000"
"11/24/2021","36819.5","37462.8","37614.2","36706","35260000"
"11/25/2021","37273.6","36857.3","37349.3","36857.3","28290000"
"11/26/2021","37122.2","37311.4","37803.4","37084.4","34750000"
"11/29/2021","36630.3","36478.9","37008.7","36478.9","28340000"
"11/30/2021","37046.5","37046.5","37803.4","36706","28830000"
"12/1/2021","37084.4","37462.8","37462.8","37008.7","17970000"
"12/2/2021","36781.6","37235.7","37273.6","36781.6","16680000"
"12/3/2021","36100.5","36933","37197.9","36100.5","28190000"
"12/6/2021","34624.7","35949.1","36289.7","34435.5","45020000"
"12/7/2021","36024.8","35154.5","36024.8","34813.9","28520000"
"12/8/2021","35722.1","36251.9","36251.9","35608.6","14440000"
"12/9/2021","35646.4","35495","35797.8","35419.4","13420000"
"12/10/2021","35192.3","35608.6","35722.1","35116.6","25260000"
"12/13/2021","35230.2","35230.2","35684.3","35041","18600000"
"12/14/2021","36100.5","35230.2","37160.1","34965.3","46380000"
"12/15/2021","36176.2","36327.6","36781.6","36100.5","11760000"
"12/16/2021","35949.1","36403.2","36403.2","35797.8","14340000"
"12/17/2021","35343.7","35835.6","35987","35268","28620000"
"12/20/2021","35495","35343.7","35835.6","35192.3","12980000"
"12/21/2021","34889.6","35495","35532.9","34889.6","22220000"
"12/22/2021","34132.8","35041","35192.3","34132.8","32070000"
"12/23/2021","34019.2","34132.8","34132.8","33375.9","34680000"
"12/24/2021","34851.7","34284.1","35305.8","34246.3","24920000"
"12/27/2021","34738.2","35230.2","35268","34473.3","13880000"
"12/28/2021","34662.5","34738.2","35343.7","34511.2","16060000"
"12/29/2021","34662.5","34662.5","35041","34435.5","19650000"
"12/30/2021","34586.9","35041","35041","34586.9","13370000"
"12/31/2021","35116.6","34813.9","35305.8","34700.4","17920000"
"1/4/2022","35381.5","35419.4","35722.1","35268","26130000"
"1/5/2022","35419.4","35495","35835.6","35419.4","24390000"
"1/6/2022","34889.6","35192.3","35343.7","34889.6","22320000"
"1/7/2022","34662.5","34889.6","34965.3","34549","21240000"
"1/10/2022","34549","34700.4","35305.8","34435.5","22720000"
"1/11/2022","34132.8","34851.7","34851.7","34132.8","16590000"
"1/12/2022","34965.3","34208.4","35003.1","34170.6","19090000"
"1/13/2022","35343.7","35041","35797.8","34965.3","32490000"
"1/14/2022","35003.1","35192.3","35457.2","34965.3","10270000"
"1/17/2022","33830","35003.1","35192.3","33830","28160000"
"1/18/2022","33300.3","33678.7","34246.3","32543.4","27870000"
"1/19/2022","32921.8","33603","33716.5","32884","23020000"
"1/20/2022","33300.3","33148.9","33451.6","32770.5","19070000"
"1/21/2022","32770.5","33300.3","33640.8","32619.1","21160000"
"1/24/2022","30802.7","32619.1","32694.8","30802.7","38250000"
"1/25/2022","32732.6","30651.4","32770.5","30424.3","23250000"
"1/26/2022","32884","32921.8","33640.8","32884","19770000"
"1/27/2022","31900.1","32694.8","32921.8","31786.6","19110000"
"1/28/2022","31938","31975.8","32392.1","31559.6","19420000"
"2/7/2022","32581.3","32392.1","33073.2","31635.2","21590000"
"2/8/2022","34473.3","32543.4","34473.3","32543.4","34490000"
"2/9/2022","35797.8","34662.5","36554.6","34586.9","52390000"
"2/10/2022","35570.7","35873.5","36251.9","35343.7","30680000"
"2/11/2022","35684.3","35268","35949.1","35041","22550000"
"2/14/2022","34965.3","35192.3","35949.1","34927.4","23720000"
"2/15/2022","34813.9","34965.3","35230.2","34359.8","20230000"
"2/16/2022","34813.9","34889.6","35192.3","34511.2","12160000"
"2/17/2022","35192.3","34813.9","35381.5","34813.9","14760000"
"2/18/2022","35608.6","34965.3","36062.7","34851.7","27790000"
"2/21/2022","35305.8","35646.4","35949.1","35230.2","15830000"
"2/22/2022","35116.6","35041","35268","34586.9","22970000"
"2/23/2022","35343.7","35305.8","35722.1","35003.1","16880000"
"2/24/2022","34813.9","35381.5","35457.2","34132.8","29180000"
"2/25/2022","34738.2","34889.6","35078.8","34738.2","16610000"
